Summary,Priority,Severity
[Databinding] WritableValue throws ValueChange events when a change has not occurred,P3,normal
"[Viewers] request for remove(parent, index) API on tree viewer",P3,enhancement
[OpenModes] Synchronizer execs OpenStrategy Runnable mulitple times for one selection,P3,normal
[Viewers] testRefreshBug141435 and testNoSelectionRefresh failing on  N20060927-0010,P3,normal
[Viewers] multiple dispose listeners for elements in VIRTUAL tree viewer,P3,normal
[DataBinding] ClassCastException in StructuredContentProviderTest,P3,normal
[DataBinding] Create a static initializer to create DBC with support for java primitives,P3,enhancement
[Viewers] Deprecate TableTreeViewer,P3,normal
[Viewers] getRowPart(Point) behaves differently on Table than on Tree,P3,normal
[Viewers] Tooltips not working on TreeViewer,P3,normal
[OpenModes] Backport fix from bug 158876 to 3.2.2,P3,normal
[Viewers] TreeViewer.setChildCount(...) should preserve selection,P3,normal
[DataBinding] DataBindingContext shouldn't expose the bindings list as a mutable list,P3,normal
[DataBinding] Convert scenarios to official APIs,P3,normal
[Viewers] tableViewer.setUseHashlookup causes wrong selections,P3,normal
[Viewers] Editing backwards compatility,P3,normal
[Viewers] performance problem in AbstractTreeViewer.internalExpandToLevel,P3,normal
[Viewers] ColumnViewer#getCell(Point point) can not work,P3,normal
[Viewers] Tweak ColumnViewer-API,P3,normal
[Viewers] JFace TreeViewer collapses node when sibbling removed,P3,normal
[JFace] Enhancements to GridLayoutFactory.margins,P3,normal
[Workbench] Add default icons to Quick Access,P3,normal
[JFace] org.eclipse.jface.snippets doesn't work on linux,P3,normal
[DataBinding] Issues with IDiff,P3,normal
[Viewers] New snippets to demonstrate ITableFontProvider and ITableColorProvider,P3,normal
[Viewers] Some new snippets,P3,normal
[Viewers] Take over SWT programming pattern to JFace Viewers,P3,normal
"[Viewers] NullPointerException on AbstractTreeViewer.remove(path, index)",P3,major
[Viewers] Issues with TreeColumnAdapter,P3,normal
NPE while filtering tree in Plugin Registry,P3,normal
Javadoc warning in N20061111-0010,P3,normal
[DataBinding] NPE from ObservableMapLabelProvider when value is null,P3,normal
[DataBinding] BeansObservables.observeList returns a list without an element type,P3,normal
[Viewers] Snippet to show how to implement double-click editing,P3,normal
[Viewers] Collapsed item get's child count re-set to 1 if children already retrieved,P3,major
[Viewers] AssertionFailedException when removing element from tree,P3,normal
[Viewers] TreeViewer.refresh() fails when using SWT.VIRTUAL,P3,major
[EditorMgmt] I somtimes need two Navigate->Back to get back to where I was,P3,normal
[Viewers] ViewerColumn needs a dispose method,P3,major
[Viewers] ViewerRow#getCell(Point) not working for Viewers without columns,P3,major
[Viewers] LabelProvider disposed twice,P3,normal
[Viewers] Compiler warnings in N20061130-2300,P3,normal
[Viewers] DelegatingCellLabelProvider breaks OwnerDrawLabelProvider,P3,major
[Databinding] WritableList.clear() does not clear the list,P3,normal
Compiler warnings in 3.3M4 warmup build,P3,normal
[DataBinding] Get rid of bind support factory magic,P3,normal
[Viewers] Changing logical structures using the Show Structure As..  menu breaks view,P3,normal
[EditorMgmt] Cannot undo decision to get prompted for save if resource is opened elsewhere,P3,normal
[QuickAccess] Quick Access Dialog should include properties,P3,normal
[DataBinding] Need API to get the object wrapped by an IObservable,P3,major
[EditorMgmt] 'Pin editors' toobar icon missing in 3.3M4,P3,normal
[implementation] hashCode/equals of TextEditorSavable must not change,P3,normal
[Snippet] Demonstrate Usage of ComboBoxCell-Editor,P3,normal
SaveblesList updating is incomplete,P3,normal
"[Viewers] Table viewer needs to clear label, image when items are reused",P3,critical
[Viewers] AbstractTreeViewer.insert needs to handle empty tree path,P3,major
[Viewers] Should the TableLayout-Data connected to the column?,P3,normal
[DataBinding] API sanity pass,P3,normal
[DataBinding] Binding customization story,P3,normal
[Viewers] regression? Selection not revealed in tree of launch configuration dialog,P3,normal
[EditorMgmt] Convert new tab behaviour into a tweaklet,P3,normal
[QuickAccess] Don't open QuickAccess dialog fully expanded,P3,normal
"[IDE] Failure in IDE.saveAll reports ""An error has occurred when closing the workbench...",P3,normal
[EditorMgmt] NPE upon save all,P3,critical
[Viewers] TreeViewer.updateHasChildren() does not work if item is already expanded,P3,major
[ViewMgmt] add attribute to close a sticky view in all open perspectives,P3,enhancement
[DataBinding] BindList does not apply Converter,P3,normal
[Progress] org.eclipse.ui.progress.DeferredTreeContentManager adds duplicate items in a tree,P3,normal
[DataBinding] TreePath moved to internal package,P3,normal
[DataBinding] Remove BindingListener/BindingEvent from the API,P3,normal
[DataBinding] Provide support for wizard pages,P3,normal
[Intro] Show intro if new intro content is available,P3,normal
[Viewers] org.eclipse.jface.viewers.TreeSelection#equals/hashcode should use IElementComparer,P3,normal
[Viewers] AbstractTreeViewer.setAutoExpandLevel has an off-by-1 error,P3,normal
[DataBinding] Please javadoc org.eclipse.core.databinding.observable.ObservableEvent and subclasses,P3,normal
[DataBinding] Mutators not implemented on JavaBeansObservableList,P3,normal
Javadoc only: Platform UI API still marked experimental,P3,normal
[DataBinding] ValueBinding does not remove model/target listeners on dispose,P3,major
[DataBinding] error message printed to stdout when running test suite,P3,normal
[Databinding] UpdateValueStrategy.setBeforeSetValidator() breaks call chaining,P3,normal
[Viewers] JavaDoc errors in GridDataFactory/GridLayoutFactory,P3,trivial
[DataBinding] core.databinding package.html outdated,P3,minor
[DataBinding]  ObservableValue for org.eclipse.widgets.Link,P3,enhancement
"[DataBinding] Add support for shorts, bytes, and BigDecimal to StringToNumberConverter",P3,enhancement
[DataBinding] TextObservableValue should take a delay-argument,P3,enhancement
[EditorMgmt] Bring back 'Quick Switch Editor' on Ctrl+E (QuickAccess is now Ctrl+3),P3,normal
[EditorMgmt] DBCS3.3: Unable to open files with non-registred external editors,P3,normal
[Viewers] test failure in N20070408-0010 on GTK,P3,normal
[Viewers] [JFace] Why doesn't BaseLabelProvider.dispose() call clearListeners()?,P3,enhancement
[Viewers] content provider in TreeTest should return children when getElements is called,P3,normal
[EditorMgmt] SaveableHelper has an empty task name,P3,normal
[FastView] WorkbenchPage.isPageZoomed class cast error,P3,critical
[DataBinding] Content providers should support AbstractTableViewer,P3,enhancement
[DataBinding] Implement better list diff algorithm,P3,normal
[IDE] missing keywords for General > Workspace preference page,P3,trivial
[Viewers] AIOOBE in AbstractTableViewer,P3,normal
[EditorMgmt] provide API for restoring multiple editors without materialization,P3,enhancement
[QuickAccess] Polish QuickAccess dialog,P3,normal
Parts References Tests give an Error Dialog,P3,normal
[Viewers] Wrong selection event on change visible working sets,P3,normal
[DataBinding] Add data binding API to platform doc,P3,normal
[Viewers] Label provider of a tree vewier is not called,P3,normal
[DataBinding] internal tree content provider does not work,P3,normal
[QuickAccess] ClassCastException in quick access,P3,normal
[Workbench] stack trace in UI when starting eclipse compiled with 1.6 settings from source build,P3,normal
[Dialogs] Leaked cursor opening wizard from Quick Access,P3,normal
[EditorMgmt] Uses the least recently used perspective when trying to close view that implements ISaveablePart2,P3,normal
[EditorMgmt] Mnemonic conflict on 'Editors' preference page,P3,trivial
"[Viewers] Mac only: In variables and expressions views, up/down keyboard navigation doesn't work correctly",P3,major
[QuickAccess] CamelCase algorithm needs to be better,P3,normal
DBCS3.3:CheatSheetHelpMenuAction has no handler,P3,major
[QuickAccess] Text not shown on selected item.,P3,normal
[LinkedResources] Cannot create linked output folder pointing to path variable,P3,normal
[ViewMgmt] TreeViewer disposes of widget when the third item in the tree is deleted,P3,normal
[Viewers] Deleting filtered config doesn't reset filter + errors,P3,normal
"[DataBinding] ""not to be implemented by clients"" missing in IConverter Javadoc",P3,normal
Compiler warnings in I20070517-0010,P3,normal
[FilteredTree] clear icon fails to appear on FilteredTree if expand time gets maxed,P3,normal
[EditorMgmt] Topmost editor not restored when editor area does not have focus on shutdown,P3,normal
[QuickAccess] CTRL-3 and Right-to-left don't play well,P3,normal
[Viewers] Virtual TreeViewer with columns: First and last row have wrong labels,P3,major
[QuickAccess] can't find Open Perspective/Show View->Other with Quick Access,P3,normal
[QuickAccess] Empty string should not be associated with an element,P3,normal
[Databinding] Incorrect javadoc for TextObservableValue,P3,trivial
[ViewMgmt] ViewPart selection listeners don't work when perspective with secondary IDs first open,P3,normal
[DataBinding] Policy.getLog().log() could be a bit more informative,P3,normal
[DataBinding] Support for nested attributes in tables,P3,enhancement
[DataBinding] ComboObservableValue fails to clear cached value,P3,major
[DataBinding] ComputedValue invokes doGetValue outside realm when adding a change listener,P3,normal
[DataBinding] JavaBeanObservableValue may cause NPE when used with ComputedValue,P3,normal
[DataBinding] ObservableListContentProvider should use AbstractListViewer.insert,P3,normal
[EditorMgmt] [registry] Improve InstantiationException message thrown from RegistryStrategyOSGI.createExecutableExtension,P3,enhancement
[DataBinding] ObservablesManager does not dispose model,P3,normal
[DataBinding] ComboSingleSelectionObservableValue setValue() does not change selection,P3,normal
[DataBinding] Listeners in swt Observables are not removed on dispose,P3,major
[DataBinding] SelectionProviderSingleSelectionObservableValue doesn't remove selectionChangedListener on dispose,P3,normal
[DataBinding] WizardPageSupport does not report exceptions thrown in bindings,P3,normal
